label,message
"ham","Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
"ham","Ok lar... Joking wif u oni..."
"spam","Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's"
"ham","U dun say so early hor... U c already then say..."
"ham","Nah I don't think he goes to usf, he lives around here though"
"spam","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
"ham","Even my brother is not like to speak with me. They treat me like aids patent."
"ham","As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune"
"spam","WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only."
"spam","Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030"
"ham","I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
"spam","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply INFO for info"
"spam","URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
"ham","I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times."
"ham","I HAVE A DATE ON SUNDAY WITH WILL!!"
"spam","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
"ham","Oh k...i'm watching here :)"
"ham","Eh u remember how 2 spell his name... Yes i did."
"ham","Fine if that's the way u feel. That's the way its gota b"
"spam","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND, 49.50p/msg"
"ham","Is that seriously how you spell his name?"
"ham","I'm going to try for 2 months ha ha only joking"
"ham","So ü pay first lar... Then when is da stock comin..."
"ham","Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?"
"ham","Ffffffffff. Alright no way I can meet up with you sooner?"
"ham","Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol"
"ham","Lol your always so convincing."
"ham","Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my love ?"
"ham","I'm back &amp; we're packing the car now, I'll let you know once we're on the road"
"ham","Ahhh. Work. I vaguely remember that! What does it feel like? Lol"
"ham","Wait that's still not all that clear"
"ham","Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly just need a place to sleep."
"ham","Okay name ur time and place. U can belate as u want, just don't be earlier than my c lass"
"ham","I'm fine. Hope you are well today."
"spam","Congratulations! You've won a £500 supermarket voucher. Text YES to 80182 to claim your prize."
"spam","URGENT customer service announcement. Call 08000930705 now."
"ham","Sorry, I'll call later. In a meeting."
"ham","Hey, I'm going to be about 15 minutes late."
"spam","Your account has been locked due to suspicious activity. Please verify your identity by clicking here: http://bit.ly/fakelink123"
"ham","Can you pick up some milk on your way home?"
"spam","You have (1) new voicemail. Call 09058094507 to listen. 150p/min."
"ham","What time is dinner tonight?"
"ham","Haha you're so funny. Seriously."
"spam","PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 un-redeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239"
"ham","I'm at the library now. Where are you?"
"spam","You are a winner U have been specially selected to receive £1000 cash or a 4* holiday. CALL 09058094507. T&Cs apply. 16+"
"ham","Are we still on for this Friday?"
"ham","No problem. Take your time."
"ham","I'm not sure, let me check and get back to you."
"spam","Your delivery from Amazon is pending. Please confirm your shipping address immediately to avoid delays: [shortened_link]"
"ham","Just wanted to say I had a great time last night."
"spam","Want cheap holidays? Send your name and address to 07781482378 for a free brochure."
"ham","Hey! Just checking in. How's your day going?"
"spam","URGENT! We have been trying to contact you. Your parcel is waiting for collection. Text TRACK to 83383."
"ham","Can't talk right now, I'm driving."
"ham","The meeting was moved to 3 PM."
"spam","From sexy singles in your area. Call 09099629539. Calls cost £1.50/min. Max 10 mins. PoBox 123, London."
"ham","Did you see the game last night? Crazy ending."
"ham","Happy Birthday! Hope you have an amazing day!"
"spam","You've been approved for a £5000 loan. No credit check required. Reply YES to apply."
"ham","I left the keys under the mat."
"spam","Someone you know has just sent you a greeting card! To view, go to www.123greetings.com"
"ham","Don't forget to take out the trash."
"spam","Get a FREE Nokia phone with 1000 free minutes of talk. Call 08000930705 for details."
"ham","Ok I'm on my way."
"spam","HOT LIVE FANTASIES call now 08707500020 Just 20p per min. Find the girl of your dreams."
"ham","The party is at 8. Don't be late!"
"spam","Your computer has a virus! Call our certified technicians now at 1-800-FAKE-SUPPORT to prevent data loss."
"ham","I'm so tired, I think I'll just stay in tonight."
"spam","Congratulations! Your mobile number has been selected for a £2000 prize. To claim, text 'WIN' to 78888."
"ham","Let's catch up soon, it's been too long."
"ham","Traffic is a nightmare. I'll be there as soon as I can."
"spam","You have 1 new message from a secret admirer. To read, go to this URL and enter your number."
"ham","I'm at the grocery store, do you need anything?"
"spam","Final notice: Your subscription to 'Fun Tones' is about to expire. Renew now to keep your service."
"ham","Sounds good to me. See you then."
"spam","Lose 10lbs in 10 days with our new revolutionary diet pill! Click here for a free trial."
"ham","I'm not feeling well, I think I'm going to take a sick day."
"spam","Thanks for your subscription to Ringtone UK. Your mobile will be charged £5/month. To cancel, text 'STOP' to 83483."
"ham","What movie do you want to watch tonight?"
"spam","Meet new singles near you. Text CHAT to 86688. 150p/msg received."
"ham","Can I borrow your charger?"
"ham","The weather is beautiful today!"
"ham","Actually I just woke up. My mom decided to wake me up at 7."
"spam","Your B4U voucher is waiting for you. To claim it, just call 08718727868 now! LCCLTD POBOX 4403LDNW1A7RW18"
"ham","K k:) sms chat with me."
"ham","So how are you, my little pie? What are you up to?"
"spam","Get the latest ringtones and logos for your mobile. Over 10,000 to choose from. Text TONE to 89999"
"ham","I'll be there in about 5 minutes."
"spam","We tried to deliver your package (ref: 8392A) today but you were not in. To reschedule a new delivery, please go to: [fake_url].com"
"ham","Just finished the gym. Feeling great!"
"ham","My phone battery is about to die. Text you later."
"spam","Important information for HSBC account holders. We have detected unusual activity on your account. Please login to secure your account immediately."
"ham","What's for dinner? I'm starving."
"spam","You have been selected to take part in our survey. Complete it for a chance to win a $100 Amazon gift card."
"ham","I'm running late, the traffic is insane."
"ham","Let me know when you're free to talk."
"spam","Free Viagra! We have the cheapest prices online. Discreet packaging. Order now!"
"ham","So, I was thinking we could go to that new Italian place?"
"spam","Your iCloud storage is full. To prevent loss of photos and contacts, purchase more storage here: [phishing_link]"
"ham","He said he'd be here by 9."
"spam","Cash App: You've received a payment of $750. Confirm your identity to accept the funds."
"ham","I think I left my jacket at your place. Have you seen it?"
"ham","Can you send me the notes from class? I missed it."
"spam","You've won a 2-night stay at the Hyatt! Click here to claim your prize before it expires in 24 hours."
"ham","No worries, I'll take care of it."
"spam","[Norton Security] Your subscription has expired. Your PC is at risk. Renew now to stay protected."
"ham","Are you free for lunch tomorrow?"
"ham","Just got out of the shower. Give me a few minutes."
"spam","FINAL CHANCE to claim your £150 discount voucher. Don't miss out! Reply YES to get it."
"ham","I'm so proud of you!"
"spam","Work from home opportunity! Earn $5000/month with no experience. Text JOB to 34534 for more info."
"ham","It's my treat next time."
"ham","Could you please stop calling me? I'm busy."
"spam","Your Netflix account will be suspended. Your payment method was declined. Update your details here."
"ham","OK. I'm waiting for your message."
"spam","Hi, this is your Uber driver. I have arrived. Please meet me at the pickup location."
"ham","I saw that movie, it was pretty good."
"spam","Your mobile number has won a prize of 500 pounds, to claim please call 09061701461."
"ham","When are you coming home? It's getting late."
"spam","This is the 2nd attempt to contact U! U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW! Only 10p per min."
"ham","That's awesome! Congratulations!"
"ham","I need to reschedule our meeting. Something came up."
"spam","Free entry to the weekly lottery. Text PLAY to 80082. 18+ T&Cs apply."
"ham","Whatever, I'm not in the mood for this."
"ham","Do you have a pen I can borrow?"
"spam","Claim your free iPhone 14 now. Just pay for shipping. Limited stock available."
"ham","I'm not sure what you mean."
"spam","URGENT: Your bank account has been flagged for fraud. Call us immediately at [fake_number] to resolve."
"ham","The code is 123456. Don't share it with anyone."
"spam","You are owed a refund of £340. To claim your tax rebate, fill out this form:"
"ham","Just woke up, need coffee."
"ham","I'm on my way to pick you up."
"spam","Your car's extended warranty is about to expire. Call us now to renew and stay protected."
"ham","Sorry for the late reply, I was asleep."
"spam","Want to lose weight? Our new supplement guarantees results in just one week. Order now!"
"ham","I'll call you back in a bit."
"spam","We have a special offer for you! 50% off all pizzas this weekend. Use code: PIZZA50"
"ham","Thank you so much, I really appreciate it."
"spam","Your WhatsApp code is 485-921. Don't share it."
"ham","I'm looking forward to it!"
"spam","You've been selected for a secret shopper opportunity. Get paid to shop at your favorite stores."
"ham","Can you help me with this? I'm stuck."
"spam","Your entry into our contest has won you a complimentary 4-night stay at a 5-star hotel. Call 08712460324 to claim. CustCare 08712405020"
"ham","Alright, sounds good. I'll see you at 7."
